username	lastname	firstname	party	constituency	followers	friends	tweets
seankynetd	Kyne	Sean	Fine Gael	Galway West	6129	540	6613
seansherlocktd	Sherlock	Sean	Labour	Cork East	11830	3426	10745
seighin_oc	Ó Ceallaigh	Seighin	Sinn Fein	Limerick County	663	627	1041
senatormbyrne	Byrne	Maria	Fine Gael	Limerick City	2784	3540	5471
senatornoone	Noone	Catherine	Fine Gael	Dublin Bay North	11044	1314	6722
sencolmburke	Burke	Colm	Fine Gael	Cork North Central	3975	3738	5613
senrobgallagher	Gallagher	Robbie	Fianna Fail	Cavan Monaghan	918	2028	5951
shanecassells	Cassells	Shane	Fianna Fail	Meath West	2797	1121	
shaneobrien32	O'Brien	Shane	Sinn Fein	Dun Laoghaire	1379	2010	2246
shaybrennan	Brennan	Shay	Fianna Fail	Dublin Rathdown	1093	1828	585
sihalpin	Halpin	Sinead	Social Democrats	Cork North Central	1546	3927	2166
simoncoveney	Coveney	Simon	Fine Gael	Cork South Central	96761	792	10677
simonharristd	Harris	Simon	Fine Gael	Wicklow	65090	978	15738
sineadgibney	Gibney	Sinead	Social Democrats	Dun Laoghaire	1411	750	358
smytho	Smyth	Ossian	Green Party	Dun Laoghaire	3718	3796	5427
sorchanicc	Nic Cormaic	Sorcha	Sinn Fein	Dublin Rathdown	861	562	893
stevensgreen1	Matthews	Steven	Green Party	Wicklow	769	684	1226
taradeacy	Deacy	Tara	Social Democrats	Dublin South Central	1603	1245	3351
tatefortd	Donnelly	Tate	Green Party	Cavan Monaghan	1725	1123	4983
tfitzgeraldcork	Fitzgerald	Tony	Fianna Fail	Cork North Central	3064	2248	5196
thegreenmccabe	McCabe	Sean	Green Party	Meath East	924	1117	687
thekavofficial	Kavanagh	Peter	Green Party	Dublin Mid West	8096	2386	61921
thomasbyrnetd	Byrne	Thomas	Fianna Fail	Meath East	7989	2925	19435
thomasgouldsf	Gould	Thomas	Sinn Fein	Cork North Central	1438	1614	2478
timmydooley	Dooley	Timmy	Fianna Fail	Clare	6555	893	5946
vickicasserly	Casserly	Vicki	Fine Gael	Dublin Mid West	2018	1870	
vincentpmartin1	Martin	Vincent	Green Party	Kildare North	1064	1112	1624
violetwynne	Wynne	Violet-Anne	Sinn Fein	Clare	576	2149	1668
votemaryfitz	Fitzpatrick	Mary	Fianna Fail	Dublin Central	1811	389	2802
votetimlombard	Lombard	Tim	Fine Gael	Cork South West	2395	3369	3647
votetomneville	Neville	Tom	Fine Gael	Limerick County	1920	840	2075
walshthomasf	Walsh	Thomas	Fianna Fail	Sligo Leitrim	553	857	2801
wardy1916	Ward	Mark	Sinn Fein	Dublin Mid West	2107	563	1278
whitmorejen	Whitmore	Jennifer	Social Democrats	Wicklow	1887	1026	4435
willieodealive	O'Dea	Willie	Fianna Fail	Limerick City	6510	758	2127
